url,label
http://itemweb.fr/845yfgh,1
http://academic.research.microsoft.com/Organization/7836/cole-de-technologie-superieure,0
http://bostonradio.org/nerw/nerw-980402.html,0
http://doctorthornton.com/,0
http://artisticmouldings.com/wp-admin/js/?MPMdcLFwdwoadObbMbwLr.Lws.Da.doQrarmwLbdNOo.KrdEEsmrcsaEDJLHRrFroLCoEnBrQPDJ.KonnMem.owGaNoawwo.MOFbQdRObDGConF.ONNwcPGbK.FKbQbRMKbLwbIrnoH.bcOcsKcCHnwrrHocFmcreK.e,1
http://a.update.51edm.net/20100223/01.kdg?md5=ab2676ca2190bc21abcba6e5f5b3b2a7,1
http://last.fm/music/Scaterd+Few,0
http://datongqu.com/pin/alibab,1
http://law.du.edu/index.php/law-school-clinical-program/environmental-law-clinic/who-we-are,0
http://maumeevp.org/ga/cd/cd/index.php,1
http://www.studiolegalecarlopuddu.com/imyvmejy,1
http://kyle.dark7.org/download.php,1
http://123people.ca/s/pierre+cadieux,0
http://zimbio.com/Jo+Van+Fleet/video/pro,0
http://journalpatriot.com/obituaries/article_d70214ea-a1cb-11e0-b1e5-001a4bcf6878.html,0
http://hasbean.hu/plugins/content/geshi/cms/tabvsac/,1
http://romancatholicwomenpriests.org/ordained.htm,0
http://greencenterinc.com/kuzzy/Goldencat/Goldencat/auth/view/document,1
http://americanwhitewater.org/photos/?photoid=9956,0
http://wordiq.com/definition/John_Redpath,0
http://dcunited.com/video/2011/10/highlights-vancouver-whitecaps-fc-2-dc-united-1,0
http://warde1976.myevent.com/8/25-TRUE-25.htm,0
http://boards.ancestry.netscape.com/surnames.dolson/105.3/mb.ashx,0
http://knowledge.wharton.upenn.edu/article.cfm?articleid=1463,0
http://pensburgh.com/2010/4/8/1410390/the-final-regular-season-game-at,0
http://whatculture.com/film/j-j-abrams-scouting-locations-for-star-trek-2.php,0
http://mionetitwi.ru/gate.php,1
http://brianzainformatica.it/15ox8nj,1
http://mcomtraining.com/online.lloydsbank.co.uk/login.html/,1
http://zxpos.net/tpl/Chat/nuchinucah/sichimoca/laibancag/tzatocam/laizan/fotola/iavas.html?DASDSDADASSADHSDAS=DSHAS,1
http://ministerio-publi.info/web/bo_03.php,1
http://septa.org/,0
http://myspace.com/seasicksteve/stream,0
http://purebot.hydrapak.com/,0
http://giga.com.hk/nabb/1/index.htm,1
http://creditunionsonline.com/credit-union-7010.html,0
http://70885.info/libraries/joomla/client/wrapper/li.php,1
http://185.20.224.58/123.zip?f=1,1
http://srhralliance.or.ke/libraries/hbn/excel/excel/index.php?email=abuse@emirates.net,1
http://en.wikipedia.org/wiki/Vachon_wrestling_family,0
http://greenpath.cl/wp-content/plugins/wpsecone/microsoft.secure.encryptedmail.service.login/763528482739423908665316258358992185381/index.php,1
http://nbj.com/issue/0501/13/136,0
http://blogs.palmbeachpost.com/gatorbytes/2011/06/09/baseball-brian-johnson-likely-to-play-austin-maddox-doubtful/,0
http://support.godaddydns.cc/,1
